,original,perturbated_noise3_0,upsampled_perturbated_noise3_0,downsampled_perturbated_noise3_0,perturbated_noise10_0,upsampled_perturbated_noise10_0,downsampled_perturbated_noise10_0,perturbated_noise100_0,upsampled_perturbated_noise100_0,downsampled_perturbated_noise100_0,upsampled_0,downsampled_0,perturbated_noise3_1,upsampled_perturbated_noise3_1,downsampled_perturbated_noise3_1,perturbated_noise10_1,upsampled_perturbated_noise10_1,downsampled_perturbated_noise10_1,perturbated_noise100_1,upsampled_perturbated_noise100_1,downsampled_perturbated_noise100_1,upsampled_1,downsampled_1
34048,2,2,,,2,,,2,,,,,2,3,3,2,3,3,2,3,3,8,7
34049,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
34050,2,2,9,9,2,9,9,2,9,9,14,11,2,,,2,,,2,,,,
34051,1,1,4,4,1,4,4,1,4,4,5,4,0,4,4,0,4,4,0,4,4,17,7
34052,5,5,1,1,5,1,1,5,1,1,1,1,5,3,3,5,3,3,5,3,3,2,4
34053,8,8,2,2,8,2,2,8,2,2,3,3,8,7,,8,7,,8,7,,12,
34054,0,0,1,1,0,1,1,0,1,1,6,1,1,2,2,1,2,2,1,2,2,1,2
34055,1,1,1,1,1,1,1,1,1,1,1,1,0,4,4,0,4,4,0,4,4,4,3
34056,2,2,3,3,2,3,3,2,3,3,2,2,2,3,3,2,3,3,2,3,3,2,4
34057,4,4,1,1,4,1,1,4,1,1,37,1,4,6,6,4,6,6,4,6,6,9,8
34058,4,4,2,2,4,2,2,4,2,2,3,3,4,0,0,4,0,0,4,0,0,10,0
34059,1,1,3,3,1,3,3,1,3,3,2,2,0,,,0,,,0,,,,
34060,5,5,1,1,5,1,1,5,1,1,1,1,5,0,,5,0,,5,0,,6,
34061,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
34062,2,2,11,11,2,11,11,2,11,11,13,13,2,5,5,2,5,5,2,5,5,3,5
34063,2,2,0,0,2,0,0,2,0,0,0,0,2,2,,2,2,,2,2,,1,
34064,4,4,1,1,4,1,1,4,1,1,1,1,4,2,2,4,2,2,4,2,2,1,2
34065,3,3,1,1,3,1,1,3,1,1,6,1,3,,,3,,,3,,,,
34066,4,4,,,4,,,4,,,,,4,1,,4,1,,4,1,,0,
34067,4,4,1,1,4,1,1,4,1,1,6,1,4,5,,4,5,,4,5,,3,
34068,5,5,,,5,,,5,,,,,5,0,0,5,0,0,5,0,0,6,0
34069,2,2,,,2,,,2,,,,,2,3,3,2,3,3,2,3,3,8,7
34070,1,1,6,,1,6,,1,6,,5,,0,9,1,0,9,1,0,9,1,7,12
34071,0,0,3,3,0,3,3,0,3,3,2,2,1,,,1,,,1,,,,
34072,2,2,,,2,,,2,,,,,2,0,0,2,0,0,2,0,0,5,0
34073,2,2,1,1,2,1,1,2,1,1,6,1,2,2,2,2,2,2,2,2,2,1,2
34074,1,1,5,5,1,5,5,1,5,5,4,5,0,,,0,,,0,,,,
34075,2,2,2,,2,2,,2,2,,10,,2,0,0,2,0,0,2,0,0,15,0
34076,2,2,2,2,2,2,2,2,2,2,3,3,2,8,8,2,8,8,2,8,8,13,11
34077,7,7,9,,7,9,,7,9,,14,,7,0,0,7,0,0,7,0,0,6,0
34078,2,2,,,2,,,2,,,,,2,5,5,2,5,5,2,5,5,3,5
34079,2,2,1,0,2,1,0,2,1,0,1,1,8,,,8,,,8,,,,
34080,7,7,2,,7,2,,7,2,,10,,7,,,7,,,7,,,,
34081,3,3,2,2,3,2,2,3,2,2,3,3,3,,,3,,,3,,,,
34082,5,5,0,0,5,0,0,5,0,0,0,14,5,6,6,5,6,6,5,6,6,4,8
34083,1,1,2,2,1,2,2,1,2,2,3,3,0,2,,0,2,,0,2,,1,
34084,0,0,5,5,0,5,5,0,5,5,4,5,1,1,1,1,1,1,1,1,1,7,6
34085,5,5,,,5,,,5,,,,,5,5,5,5,5,5,5,5,5,3,5
34086,2,2,5,5,2,5,5,2,5,5,4,5,2,,,2,,,2,,,,
34087,5,5,1,1,5,1,1,5,1,1,1,1,5,5,5,5,5,5,5,5,5,3,5
34088,1,1,3,3,1,3,3,1,3,3,2,2,0,,,0,,,0,,,,
34089,5,5,2,,5,2,,5,2,,3,,5,1,,5,1,,5,1,,7,
34090,4,4,5,5,4,5,5,4,5,5,4,5,4,2,,4,2,,4,2,,1,
34091,8,8,1,1,8,1,1,8,1,1,1,1,8,6,6,8,6,6,8,6,6,4,3
34092,2,2,4,,2,4,,2,4,,5,,2,2,2,2,2,2,2,2,2,11,9
34093,4,4,4,4,4,4,4,4,4,4,5,4,4,2,,4,2,,4,2,,11,
34094,2,2,8,8,2,8,8,2,8,8,11,10,2,3,3,2,3,3,2,3,3,8,7
34095,2,2,7,7,2,7,7,2,7,7,9,7,2,,,2,,,2,,,,
34096,3,3,3,3,3,3,3,3,3,3,2,2,3,1,1,3,1,1,3,1,1,0,1
34097,2,2,0,0,2,0,0,2,0,0,0,0,2,,,2,,,2,,,,
34098,1,1,,,1,,,1,,,,,0,,,0,,,0,,,,
34099,1,1,5,5,1,5,5,1,5,5,4,5,0,1,1,0,1,1,0,1,1,0,1
34100,0,0,0,,0,0,,0,0,,7,,1,3,3,1,3,3,1,3,3,2,4
34101,4,4,9,9,4,9,9,4,9,9,14,11,4,,,4,,,4,,,,
34102,2,2,0,,2,0,,2,0,,0,,2,,,2,,,2,,,,
34103,5,5,0,0,5,0,0,5,0,0,0,0,5,1,1,5,1,1,5,1,1,2,4
34104,4,4,4,4,4,4,4,4,4,4,5,4,4,9,,4,9,,4,9,,14,
34105,2,2,2,2,2,2,2,2,2,2,3,3,2,5,5,2,5,5,2,5,5,3,5
34106,4,4,11,11,4,11,11,4,11,11,19,13,4,,,4,,,4,,,,
34107,5,5,2,2,5,2,2,5,2,2,10,8,5,,,5,,,5,,,,
34108,2,2,4,4,2,4,4,2,4,4,5,4,2,,,2,,,2,,,,
34109,5,5,5,5,5,5,5,5,5,5,4,5,5,,,5,,,5,,,,
34110,4,4,2,2,4,2,2,4,2,2,3,3,4,,,4,,,4,,,,
34111,0,0,,,0,,,0,,,,,9,1,1,9,1,1,9,1,1,0,1
34112,8,8,0,1,8,0,1,8,0,1,6,9,8,0,0,8,0,0,8,0,0,6,0
34113,5,5,1,1,5,1,1,5,1,1,1,1,5,,,5,,,5,,,,
34114,2,2,6,4,2,6,4,2,6,4,15,4,2,0,0,2,0,0,2,0,0,27,0
34115,3,3,,,3,,,3,,,,,4,,,4,,,4,,,,
34116,4,4,,,4,,,4,,,,,4,5,,4,5,,4,5,,3,
